Traffic Type, Burstiness, Mean Response Time, Lower CI, Upper CI
data, 1, 0.000592, 0.000584, 0.000599
data, 10, 0.001020, 0.000997, 0.001043
data, 20, 0.001594, 0.001522, 0.001666
data, 30, 0.002192, 0.002026, 0.002359
data, 40, 0.002800, 0.002531, 0.003070
data, 50, 0.003364, 0.002990, 0.003738
data, 60, 0.003914, 0.003433, 0.004394
data, 70, 0.004529, 0.003939, 0.005119
data, 80, 0.005103, 0.004407, 0.005799
data, 90, 0.005673, 0.004873, 0.006473
data, 100, 0.006215, 0.005307, 0.007122
voice, 1, 0.000544, 0.000537, 0.000551
voice, 10, 0.000970, 0.000949, 0.000991
voice, 20, 0.001553, 0.001506, 0.001600
voice, 30, 0.002147, 0.002015, 0.002279
voice, 40, 0.002726, 0.002474, 0.002978
voice, 50, 0.003329, 0.002949, 0.003709
voice, 60, 0.003903, 0.003408, 0.004398
voice, 70, 0.004471, 0.003841, 0.005102
voice, 80, 0.005011, 0.004253, 0.005770
voice, 90, 0.005652, 0.004755, 0.006550
voice, 100, 0.006154, 0.005130, 0.007178
video, 1, 0.000596, 0.000593, 0.000600
video, 10, 0.001694, 0.001665, 0.001723
video, 20, 0.003178, 0.003120, 0.003236
video, 30, 0.004706, 0.004548, 0.004864
video, 40, 0.006186, 0.005927, 0.006445
video, 50, 0.007697, 0.007344, 0.008049
video, 60, 0.009191, 0.008740, 0.009643
video, 70, 0.010657, 0.010106, 0.011208
video, 80, 0.012219, 0.011518, 0.012921
video, 90, 0.013672, 0.012922, 0.014422
video, 100, 0.015167, 0.014325, 0.016008
